Peptide_ID,MW,pI,Hydrophobicity_GRAVY,Net_Charge_pH7.4,Cys_Count,Cyclizable,Label
sp|P80666|LANM_STRMG,2424.75,8.52,-0.014,1.45,4,1,1
sp|P81904|H2B3_ICTPU,1926.33,10.3,-1.244,4.27,0,0,1
sp|P83413|CECA_HELVI,3903.67,10.64,-0.111,5.55,0,0,1
sp|P83414|CECB_HELVI,3605.28,10.66,-0.164,5.54,0,0,1
sp|P83637|DRS1_PITOR,2795.24,10.0,0.286,2.55,0,0,1
sp|P83705|HLOA_HALAU,1930.28,8.24,0.672,0.6,1,0,1
sp|P84915|MAST2_POLPI,1614.0,8.59,0.871,0.55,0,0,1
sp|P84920|DEF2_VIGUN,5242.23,9.2,-0.439,6.38,8,1,1
sp|P85058|RN2B_LITSE,2949.6,9.24,0.429,2.55,2,1,1
sp|P85078|3CP2_STRSQ,2185.52,4.05,1.157,-1.54,4,1,1
sp|P85874|MAST_POLMJ,1911.33,10.0,0.247,2.55,0,0,1
sp|P86253|DFB1_EMYOR,4550.33,9.86,-0.29,7.4,6,1,1
sp|P86503|CR16_LITRO,2594.14,8.61,1.224,0.63,0,0,1
sp|B3KYH6|TPC_PELSA,5712.19,4.48,-0.692,-6.42,1,0,1
sp|C0HKY0|APD3_PIMDI,2254.64,12.0,-1.625,4.59,0,0,1
sp|C0HL47|BR1A_RANIT,2215.91,9.39,1.525,2.5,2,1,1
sp|P01476|MYX1_CROVV,4827.75,9.47,-1.04,7.46,6,1,1
sp|P0C912|THCL1_AMISM,1364.64,5.23,1.107,-0.89,6,1,1
sp|P0DQX4|HAL1_HALST,1410.73,11.0,0.367,1.59,0,0,1
sp|P0DQX5|HAL2_HALST,1453.84,10.3,0.067,2.59,0,0,1
sp|P34084|HIS1_MACFA,4803.04,9.6,-2.455,2.91,0,0,1
sp|P82321|TERN_PSEUS,4221.83,8.96,-0.153,3.49,6,1,1
sp|P83399|DEF1_VIGUN,5172.88,8.97,-0.457,4.43,8,1,1
sp|P83415|CECC_HELVI,3751.49,10.64,-0.358,5.55,0,0,1
sp|P83545|CHY1_PAGMA,2892.42,12.0,-0.0,4.7,0,0,1
sp|P83547|CHY3_PAGMA,2286.72,11.71,0.345,2.63,0,0,1
sp|P85054|ES1SB_LITSE,4939.93,9.87,-0.035,6.49,2,1,1
sp|P85065|LAN91_MICS0,2354.64,5.47,0.333,-0.6,5,1,1
sp|P85211|LEB1_GALME,4819.3,4.51,-0.774,-4.3,0,0,1
sp|P85870|DCRLN_OREDC,1256.58,11.0,1.227,1.25,0,0,1
sp|P86921|HPS6_PITHY,1519.92,12.0,0.493,3.55,0,0,1
sp|A0SPI0|MASTC_VESMG,3982.56,4.53,0.008,-2.72,0,0,1
sp|B3A0M6|NIG2A_ODOJI,2034.53,9.39,1.1,2.5,2,1,1
sp|B3EWY5|LUCFE_LUCCU,4136.77,8.96,0.085,3.53,6,1,1
sp|C0HJS6|CYC19_CLITE,3149.77,8.9,-0.04,3.4,6,1,1
sp|C0HK43|LL2_LASLA,1738.21,10.6,0.213,4.51,0,0,1
sp|C0HKH6|CYC11_CHACT,3016.6,6.03,0.607,-0.6,6,1,1
sp|C0HKQ3|KTI1_INGVE,2953.24,4.32,-0.231,-2.34,0,0,1
sp|C0HL57|NDB4C_ISOMC,1709.08,8.75,1.681,0.55,0,0,1
sp|C0HL85|PNGK_PANCL,2754.53,9.56,0.188,5.44,4,1,1
sp|C0HL86|PNGR_PANCL,2782.55,9.62,0.164,5.44,4,1,1
sp|H7C8I3|LARIA_RHOJO,5074.73,10.64,-0.709,5.31,0,0,1
sp|P0C2D3|OXLA_ERIMA,3097.34,4.12,-0.656,-5.39,0,0,1
sp|P0C8P7|THCL_BACBA,1415.68,5.23,1.007,-0.89,6,1,1
sp|P0CD70|OSM_OSMRU,1926.39,10.0,0.806,2.58,0,0,1
sp|P0CJ38|MASTE_EUMRB,1475.84,8.59,1.214,0.55,0,0,1
sp|P0DI86|OXLA_BOTAL,2195.34,4.08,-0.917,-4.39,0,0,1
sp|P0DSM4|WTX1B_NEOAP,2697.35,10.6,0.592,4.54,0,0,1
sp|P36502|DURB_STRGW,2063.34,7.96,-0.168,0.48,3,1,1
sp|P83430|SPHE2_APTPA,4507.4,11.63,-0.095,9.11,6,1,1
sp|P83546|CHY2_PAGMA,2920.43,12.0,-0.024,4.7,0,0,1
sp|P83619|TXC1A_CUPSA,3799.53,10.3,-0.131,6.54,0,0,1
sp|P83952|WAPA_OXYMI,5610.48,8.69,-1.274,3.34,8,1,1
sp|P85056|BR1_LITSE,2442.04,10.11,1.052,3.5,2,1,1
sp|P86163|OXLA_APLDA,2731.01,6.1,-0.246,-0.52,3,1,1
sp|P86783|2SS_TAROF,5162.68,5.01,-1.214,-1.24,6,1,1
sp|Q7M0J8|THCL_PLARO,1412.68,5.23,1.007,-0.89,6,1,1
sp|B3A0M7|NIG2B_ODOJI,2080.62,9.39,1.124,2.5,2,1,1
sp|B3KYH4|TPA_PELSA,5699.3,4.52,-0.668,-5.46,1,0,1
sp|C0HJS2|CYC15_CLITE,3190.78,8.89,-0.259,3.4,6,1,1
sp|C0HJS3|CYC16_CLITE,3132.62,8.34,-0.223,1.44,6,1,1
sp|C0HL07|RN2_NIDOK,3187.78,9.59,0.237,3.19,2,1,1
sp|C0HL08|BR1A_NIDOK,2291.84,10.3,1.041,2.55,0,0,1
sp|C0HL10|BR1C_NIDOK,2273.8,10.3,1.159,2.55,0,0,1
sp|C0HL73|NIG2B_ODOGR,2080.62,9.39,1.09,2.5,2,1,1
sp|C0HLD8|PLS31_PHYTB,2050.51,10.0,1.095,1.55,0,0,1
sp|P0C022|MAST_ANTFM,1523.94,10.3,1.057,2.55,0,0,1
sp|P0CAP0|DBTEW_CARCR,4079.97,9.54,-0.608,7.43,6,1,1
sp|P0CJ40|OXLA_BOTMA,4404.82,4.44,-0.485,-5.38,1,0,1
sp|P0DQJ8|OCE1_LEPFX,2549.04,9.53,0.432,1.58,0,0,1
sp|P36503|DURC_STRGP,2007.19,5.81,-0.511,-0.52,3,1,1
sp|P69436|MAST1_AGEPP,1567.91,8.59,0.886,0.55,0,0,1
sp|P82841|BR1A_LITPI,2565.23,9.7,1.283,3.5,2,1,1
sp|P83312|NDB25_PARSC,4994.9,10.0,-0.7,6.53,0,0,1
sp|P83427|HELN_HELVI,2714.2,12.0,-1.118,4.59,0,0,1
sp|P83597|EAP2_EUCUL,4185.8,8.62,-0.066,3.3,10,1,1
sp|P83663|RACYE_PELLE,1906.24,9.7,-1.218,3.19,2,1,1
sp|P83706|HLOB_HALAU,1516.81,8.28,0.847,0.65,1,0,1
sp|P85053|RN2C_LITSE,2935.57,9.24,0.35,2.5,2,1,1
sp|P85055|ES2SE_LITSE,3839.68,9.7,0.441,4.49,2,1,1
sp|P85059|ES1SA_LITSE,4905.91,9.87,0.002,6.49,2,1,1
sp|P86193|MYXC2_CRODM,4906.94,9.65,-0.862,8.46,6,1,1
sp|P86194|MYXC3_CRODM,4957.94,9.65,-0.955,8.46,6,1,1
sp|P01500|APAM_APIME,5223.34,8.77,0.693,2.19,5,1,1
sp|P84524|AMP1_PITHY,1336.67,12.0,0.742,2.55,0,0,1
sp|P82243|BLCI_BACIU,5464.15,9.4,-0.351,2.59,0,0,1
sp|P0DQT2|TOAP3_TITOB,1700.14,8.75,1.688,0.55,0,0,1
sp|P0DJ30|AJN10_ANGJA,2164.4,7.95,-1.325,0.48,3,1,1
sp|P28794|MBP1_MAIZE,4130.68,11.35,-2.033,6.5,4,1,1
sp|B3EWQ7|AMP2_PAEAL,1331.67,9.31,0.692,1.53,1,0,1
sp|P56928|ENA2_HORSE,4769.39,8.36,-0.698,1.59,6,1,1
sp|P0DQX7|XAC3_XYLVO,2125.71,10.48,0.432,3.62,0,0,1
sp|P0DQX8|XAC4_XYLVO,2177.7,10.3,0.711,2.62,0,0,1
sp|P84815|PTYA_LITSE,2161.55,9.59,-0.867,3.5,2,1,1
sp|P39080|PGQ_XENLA,2456.92,10.0,0.546,2.55,0,0,1
sp|C0HM42|BDS3_CONGI,5190.87,8.31,-0.352,1.48,6,1,1
sp|P81570|DEFD3_SPIOL,2778.24,10.34,-0.376,5.48,3,1,1
sp|P80389|AMP1_CHICK,4480.4,9.9,-0.054,8.4,6,1,1
sp|P81569|DEFD4_SPIOL,2623.13,10.48,-0.365,5.23,2,1,1
sp|P81573|DEFD7_SPIOL,4230.65,8.83,-1.058,2.45,4,1,1
sp|P80393|AMP3_MELGA,2592.01,9.31,-0.232,3.53,4,1,1
sp|P0DTB9|URUM_HYDBH,2961.34,9.02,-0.033,1.55,2,1,1
sp|P0DQU4|NDB_TITME,1734.9,4.33,-0.017,-3.44,0,0,1
sp|P0DUT1|U763_DORVU,4213.13,10.12,0.508,4.31,0,0,1
sp|P0DTV5|FRE2D_DISSA,1482.76,4.05,1.043,-1.44,0,0,1
sp|P0DM22|KPHAB_ACTTE,1894.28,9.94,-1.424,5.45,4,1,1
sp|P46171|DFB13_BOVIN,4450.31,9.56,0.121,5.1,6,1,1
sp|P84190|NDBH2_TITSE,2726.04,4.36,-0.488,-3.39,0,0,1
sp|P46160|DEFB2_BOVIN,4648.52,11.2,-0.315,8.41,6,1,1
sp|P46164|DEFB6_BOVIN,4838.72,10.74,-0.338,8.44,6,1,1
sp|P46170|DFB12_BOVIN,4105.95,9.57,0.068,5.41,6,1,1
sp|P46166|DEFB8_BOVIN,4359.24,10.66,-0.142,7.41,6,1,1
sp|P84914|MAST3_POLPI,1661.08,5.96,0.857,-0.45,0,0,1
sp|P0C8Y4|DEF1_DAHME,5525.15,7.8,-0.69,0.61,8,1,1
sp|Q7M1F2|DEF1_CLITE,5613.24,8.51,-0.849,2.46,8,1,1
sp|B3A0M9|ES2JB_ODOJI,3821.62,9.51,0.376,3.5,2,1,1
sp|B3A0N0|BR1C_ODOJI,2603.28,9.85,1.333,3.5,2,1,1
sp|C0HJI0|THNW2_NIGSA,3899.71,9.67,-0.471,8.37,7,1,1
sp|C0HJU9|LYT1_LYCER,2833.46,10.6,0.148,4.58,0,0,1
sp|C0HKN9|PGLR1_XENRU,2070.54,10.48,0.832,3.55,0,0,1
sp|C0HKP0|PGLR2_XENRU,1969.44,10.48,0.843,3.55,0,0,1
sp|C0HKP3|PGLR5_XENRU,1915.3,10.0,1.119,1.55,0,0,1
sp|C0HKP4|PGLR6_XENRU,1959.35,10.0,1.014,1.55,0,0,1
sp|C0HKQ0|PLS3_PITNO,2013.38,8.76,1.205,0.59,0,0,1
sp|C0HKQ1|CYPB_EUPCP,3567.19,10.21,-0.064,5.53,2,1,1
sp|C0HL02|BR2J_PELRI,3138.74,9.24,0.383,2.5,2,1,1
sp|C0HL03|BR2H_PELRI,3381.06,9.6,0.133,3.5,2,1,1
sp|C0HL69|BR2A_ODOGR,3367.93,9.31,0.43,2.5,2,1,1
sp|C0HL70|BR2B_ODOGR,3289.86,9.31,0.439,2.5,2,1,1
sp|C0HL71|BR2C_ODOGR,3821.62,9.51,0.357,3.5,2,1,1
sp|C0HLD0|DRS51_PHYTB,2638.11,9.53,0.104,1.55,0,0,1
sp|C0HLD4|DRS71_PHYTB,3146.68,9.53,0.51,1.64,0,0,1
sp|C0HLD7|PLS21_PHYTB,1986.4,8.76,1.311,0.63,0,0,1
sp|C0HLE1|MDS1_PHYTB,1811.28,8.75,1.778,0.55,0,0,1
sp|C0HLN3|MO3_MOROL,3455.8,8.34,-0.671,1.41,6,1,1
sp|C0HLU0|SECP1_APIME,2825.44,10.06,-0.004,4.5,2,1,1
sp|C0HLV3|MO4_MOROL,2840.13,7.82,-0.342,0.43,5,1,1
sp|C0HLV4|MO5_MOROL,2853.09,7.82,-0.496,0.43,5,1,1
sp|C0HM24|NLTP2_NIGSA,2713.11,6.02,-0.132,-0.5,2,1,1
sp|C0HM29|TPO_RANTE,1356.65,9.75,1.6,0.56,0,0,1
sp|C0HM32|TPR_RANTE,1696.09,12.0,1.194,1.56,0,0,1
sp|C0HM33|TPS_RANTE,1730.1,12.0,1.131,1.56,0,0,1
sp|C0HM56|B2AV_RANAR,3374.12,9.79,0.373,4.53,2,1,1
sp|E8RUP9|ASTX2_ASTEC,5288.01,10.88,-0.324,3.28,0,0,1
sp|P0C1R1|PROTO_PROSY,1210.55,8.75,1.85,0.55,0,0,1
sp|P0C2A6|CR117_RANGR,2610.14,8.61,1.02,0.63,0,0,1
sp|P0C2A9|CR35_RANGR,2412.78,6.29,-0.241,-0.45,0,0,1
sp|P0C2V0|LYC40_LYCSI,2342.82,9.7,0.229,1.35,0,0,1
sp|P0C5X3|BR2C_RANDY,3317.96,9.24,0.47,2.5,2,1,1
sp|P0C8S8|BR1B_ODOHO,2561.16,9.5,1.267,2.5,2,1,1
sp|P0C8S9|BR2A_ODOHO,3332.89,9.31,0.261,2.5,2,1,1
sp|P0C8T0|BR2B_ODOHO,3364.95,9.31,0.206,2.5,2,1,1
sp|P0C8T2|BR1B_PULPI,2455.06,9.7,0.854,3.5,2,1,1
sp|P0C8U1|NIG2B_ODOHO,1979.41,8.9,1.238,1.5,2,1,1
sp|P0CF02|TX4A_DINAS,3107.63,9.7,-0.55,2.58,0,0,1
sp|P0CF03|TX2A_DINAS,1839.33,8.75,1.5,0.55,0,0,1
sp|P0CJ27|ASCA3_ASCTR,2483.91,10.29,0.488,2.59,0,0,1
sp|P0CJ37|EUMEF_EUMFR,1645.04,10.3,0.713,2.55,0,0,1
sp|P0DL41|NDB32_CENSU,2870.43,10.46,0.22,3.55,0,0,1
sp|P0DQK5|TP1A_LITST,1443.73,8.75,1.554,0.55,0,0,1
sp|P0DQW5|ATI2A_ALYOB,1583.91,8.75,1.275,0.55,0,0,1
sp|P0DTB8|SCX38_CENMA,2149.45,6.15,-0.053,-0.45,2,1,1
sp|P0DTD4|DRS1_PITNO,1983.36,10.3,0.66,2.55,0,0,1
sp|P0DTV6|FRE22_SPHLA,1548.87,8.76,1.25,0.59,0,0,1
sp|P0DX31|MAST1_EUMMI,1482.96,10.3,1.379,2.55,0,0,1
sp|P0DX32|MAST2_EUMMI,1464.92,10.3,1.564,2.55,0,0,1
sp|P0DX39|MAST_SPHVI,1618.02,10.46,0.5,3.55,0,0,1
sp|P12029|MYX2_CROCL,5033.95,9.61,-1.158,8.46,6,1,1
sp|P17232|CRBL_VESMA,1383.76,8.75,1.823,0.55,0,0,1
sp|P32423|BR1_PELPV,2531.22,9.7,1.287,3.5,2,1,1
sp|P36500|LANA_STRSL,5203.88,4.55,-0.185,-3.79,3,1,1
sp|P56227|CR12_RANCA,2555.07,7.02,1.204,-0.33,0,0,1
sp|P62544|CR14_RANGI,2603.07,7.02,0.972,-0.33,0,0,1
sp|P63176|MYX3_CROVV,5174.13,9.65,-0.802,8.46,6,1,1
sp|P63327|MYX_CRODR,4889.78,9.51,-1.079,7.46,6,1,1
sp|P69018|AUR25_RANRN,1649.97,8.59,1.175,0.55,0,0,1
sp|P69136|TAC1_CARRO,2268.76,9.93,-0.518,5.45,4,1,1
sp|P80279|DRS3_PHYSA,3023.68,10.3,0.35,4.59,0,0,1
sp|P80280|DRS4_PHYSA,2779.43,10.48,1.004,3.6,0,0,1
sp|P80395|GGN1_GLARU,3462.16,9.74,0.261,5.16,3,1,1
sp|P80408|MK1_PALPR,1838.1,9.98,-2.073,1.52,0,0,1
sp|P81252|CR19_RANCH,2594.14,8.61,1.148,0.63,0,0,1
sp|P81438|FORM1_MYRGU,1794.03,12.0,-1.731,2.59,0,0,1
sp|P81544|DEFN_HELVI,4790.32,7.77,-0.468,0.44,6,1,1
sp|P81655|RK1_RABIT,3707.35,7.54,-0.338,0.13,6,1,1
sp|P81929|DEF1_PEA,5208.85,7.73,-0.548,0.5,8,1,1
sp|P82021|FRE1_NYCIN,1141.36,4.05,1.65,-1.44,0,0,1
sp|P82032|UPE31_UPEIN,1829.19,9.99,0.9,1.55,0,0,1
sp|P82050|UPE71_LITEW,1428.63,6.74,0.831,-0.41,0,0,1
sp|P82233|BR1A_RANTE,2027.58,9.85,1.006,3.5,2,1,1
sp|P82317|DEF2_MACMU,3471.13,8.68,0.413,2.45,6,1,1
sp|P82391|AUR24_RANAE,1629.98,8.59,1.288,0.55,0,0,1
sp|P82419|GTX3F_NEOGO,1819.28,9.7,0.983,1.55,0,0,1
sp|P82424|WTX1B_NEOGO,2710.35,10.7,0.244,5.54,0,0,1
sp|P82651|TIN1_HOPTI,1343.68,8.06,0.818,0.51,2,1,1
sp|P82827|ES2L_RANLU,3750.46,9.6,0.346,3.53,2,1,1
sp|P82834|BR1B_LITBE,2569.24,9.7,1.058,3.5,2,1,1
sp|P82836|BR1D_LITBE,2537.18,9.7,1.154,3.5,2,1,1
sp|P82838|BR1F_LITBE,2631.27,9.39,1.117,2.5,2,1,1
sp|P82877|RLCB_LITCL,2111.68,9.39,1.195,2.5,2,1,1
sp|P82879|RN2B_LITCL,2786.45,9.6,0.433,3.5,2,1,1
sp|P82880|TP1A_LITCL,1431.8,8.75,1.9,0.55,0,0,1
sp|P82883|TP1D_LITCL,1447.8,8.75,1.808,0.55,0,0,1
sp|P82906|BR1C_LITSH,2614.22,9.6,0.825,3.5,2,1,1
sp|P83188|PS1_PSEPD,2715.16,9.7,-0.142,1.62,0,0,1
sp|P83248|TOP2A_OXYTA,4126.85,10.79,-0.384,7.54,0,0,1
sp|P83305|JAP1_RANJA,1650.06,8.9,1.35,1.5,2,1,1
sp|P83306|JAP2_RANJA,2358.07,9.85,1.081,3.5,2,1,1
sp|P83376|DBB2_DOLAU,3872.46,7.71,-0.603,0.29,4,1,1
sp|P83639|DRS2_PHYDS,2926.44,10.0,0.154,2.6,0,0,1
sp|P84278|PA2A_LITPA,3192.71,9.5,0.3,2.5,2,1,1
sp|P84281|PA3A_LITPA,4933.81,9.45,0.148,3.49,2,1,1
sp|P84600|DRS7_PITHY,2795.24,10.0,0.286,2.55,0,0,1
sp|P84601|DRS8_PITHY,3254.69,9.53,0.13,1.55,0,0,1
sp|P84813|POTM1_SOLTU,4833.44,6.7,-0.332,-0.59,7,1,1
sp|P84924|DMS4_PHYTS,2550.95,8.54,-0.052,0.6,0,0,1
sp|P84925|DMS5_PHYTS,2638.11,9.53,0.104,1.55,0,0,1
sp|P84929|PLS1_PHYTS,1954.4,10.0,1.263,1.55,0,0,1
sp|P84938|PLS5_PITAZ,2071.43,8.77,0.853,0.66,0,0,1
sp|P85004|AMML_ASTMO,1516.57,4.05,-0.507,-2.33,0,0,1
sp|P85008|DEF1_CRAVI,4270.86,9.18,-0.363,4.48,6,1,1
sp|P85113|OSTR1_STRCA,4017.77,8.94,0.303,3.48,6,1,1
sp|P85876|ETCM_ENTFC,3932.36,8.79,-0.221,1.55,2,1,1
sp|P85982|ALBO1_BOAAL,1865.35,10.0,1.5,1.55,0,0,1
sp|P86017|ES2RA_PELRI,3715.47,9.51,0.478,3.5,2,1,1
sp|P86022|BR2A_PELRI,2993.54,9.24,0.203,2.5,2,1,1
sp|P86027|BR1_PELRI,2667.32,9.85,1.225,3.5,2,1,1
sp|P86393|BCN02_PAEPO,4630.12,9.31,-0.908,2.64,1,0,1
sp|P86484|CR11_LITPE,2585.09,7.02,1.188,-0.33,0,0,1
sp|P86501|CR11_LITRO,2585.09,7.02,1.188,-0.33,0,0,1
sp|P86616|PLS3_PHAJA,2015.36,6.92,1.2,-0.37,0,0,1
